"ID","LV"
"AMPT_0001_I_0001_1","Šis tests novērtē  tavas spējas uztvert intonatīvi neprecīzas skaņas mūzikas kompozīcijā.\\Tu dzirdēsi vairākus mūzikas fragmentus.\\Dažos no tiem vokālists dziedās tajā pašā tonalitātē (tonāli precīzi) kā dziesmas pavadījums, bet dažos - citā tonalitātē (tonāli neprecīzi).\\ Tev ir jānosaka, vai vokālists dzied tajā pašā tonalitātē vai citā.\\Spied "Tālāk", lai noklausītos dažus piemērus."
"AMPT_0002_I_0001_1","**Piemērs - tajā pašā tonalitātē**\\Šajā piemērā vokālists dziedāja tonāli precīzi."
"AMPT_0003_I_0001_1","**Piemērs - citā tonalitātē**\\Šajā piemērā vokālists dziedāja tonāli neprecīzi."
"AMPT_0004_I_0001_1","Testā viens pēc otra skanēs viena mūzikas fragmenta divi varianti.\\Vienā variantā vokālists dziedās tajā pašā tonalitātē, bet otrajā variantā vokālists dziedās citā tonalitātē.\\Tev ir jānosaka, kurš variants skanēja tonāli neprecīzi.\\Spied 'Tālāk', lai izmēģinātu dažus piemērus."
"AMPT_0005_I_0001_1","**Piemērs 1/2**\\\\Kurš variants bija tonāli neprecīzs?"
"AMPT_0005_R_0001_1","Pirmais"
"AMPT_0005_R_0002_1","Otrais"
"AMPT_0006_I_0001_1","**Nepareizi!**"
"AMPT_0007_I_0001_1","**Pareizi!**"
"AMPT_0008_I_0001_1","**Piemērs 2/2**\\\\Kurš variants bija tonāli neprecīzs?"
"AMPT_0009_I_0001_1","**Pareizi!**"
"AMPT_0010_I_0001_1","'Spied 'Atgriezties atpakaļ', lai izlasītu instrukcijas un vēlreiz izmēģinātu piemērus, vai spied 'Tālāk', lai sāktu testu."
"AMPT_0011_I_0001_1","**Tagad tu pāriesi pie galvenā testa. Tavi rezultāti tiks saglabāti.**\\Veiksmi!"
"AMPT_0012_I_0001_1","**Jautājums {{num_question}} no {{test_length}}**"
"AMPT_0013_I_0001_1","Kurš variants bija tonāli neprecīzs? \\ Ja nezini, tad mēģini uzminēt!"
"AMPT_0014_I_0001_1","Tu esi pabeidzis labskanības uztveres testu! \\ Tavi rezultāti salīdzinājumā ar citiem testa dalībniekiem ir redzami zemāk:"
"AMPT_0015_I_0001_1","Tālāk"
"AMPT_0016_I_0001_1","Atgriezties atpakaļ"
"AMPT_0017_I_0001_1","Tu esi pabeidzis labskanības uztveres testu!"
"enter_p_id","Lūdzu, ievadi savu dalībnieka ID numuru."
"results_have_been_saved","Tavi rezultāti ir saglabāti."
"you_may_close_browser","Tagad tu vari aizvērt pārlūkprogrammas logu."
"demo_intro","Esi sveicināts skaņu uztveres testā!\\Tests pielāgojas tavam sniegumam. Ja sniegums būs veiksmīgs, tev tiks doti sarežģītāki uzdevumi.\\Parasti šis pielāgošanās process dalībniekam netiek rādīts. Tomēr, lai to tev parādītu, mēs nodemonstrēsim tava snieguma rezultātus un atbilstošo grūtības pakāpi katrā izmēģinājuma reizē."
"click_here_to_play","Spied te, lai klausītos"
